number,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,original_c,original_i,original_o,stander_c,stander_i,stander_o,total
20023,2,4,2,4,3,4,3,2,1,2,1,4,2,3,3,4,1,1,2,2,1,4,1,1,2,2,1,4,2,15,7,15,6,3,8,37
20024,2,4,2,4,3,4,2,2,1,5,3,5,5,4,3,3,1,1,2,5,1,1,3,4,2,2,1,1,3,14,8,15,6,3,8,37
20025,2,4,2,4,3,4,4,3,2,4,5,5,3,2,4,1,2,1,2,3,1,4,1,2,2,2,1,1,2,15,9,15,6,2,8,39
20026,1,4,3,2,2,1,3,3,3,4,2,2,4,2,4,3,1,1,3,2,2,5,3,3,3,2,3,1,3,10,11,11,4,5,6,32
20028,3,4,1,4,3,3,2,2,1,3,1,2,2,4,3,3,2,4,5,3,3,3,2,2,3,2,3,1,2,11,15,16,4,8,8,42
20029,2,4,4,4,4,5,3,2,5,5,3,5,5,1,4,4,2,5,2,5,2,1,2,1,4,2,1,3,5,12,8,15,5,3,8,35
20032,2,1,5,4,3,5,2,1,1,5,4,4,4,3,3,3,5,2,2,3,1,1,2,3,4,5,2,6,3,18,5,8,7,1,4,31
20034,2,1,1,3,3,4,2,1,2,5,3,4,4,4,3,4,2,1,2,5,1,2,4,4,3,1,2,1,5,16,8,7,6,3,4,31
20036,1,1,2,3,3,2,3,3,2,3,1,4,4,2,2,2,1,4,2,3,3,1,2,3,2,4,1,1,2,16,9,15,6,2,8,40
20037,2,1,2,4,3,5,3,1,1,5,4,5,5,3,3,4,2,1,2,3,1,1,2,2,3,2,2,1,2,18,9,14,7,2,7,41
20039,5,3,3,4,3,3,4,3,2,4,1,5,4,4,3,4,2,2,3,5,3,2,2,3,3,2,1,1,4,14,10,11,6,5,6,35
20042,2,1,1,3,3,2,4,1,1,4,3,5,5,2,2,4,2,5,2,4,1,1,5,4,1,1,3,1,1,19,18,11,8,10,6,48
20043,1,3,2,5,3,5,4,2,2,4,2,5,5,5,2,3,4,2,5,3,3,1,2,3,4,2,1,3,2,15,11,12,6,5,6,38
20044,5,6,5,5,3,5,4,3,1,1,5,1,5,4,2,4,2,3,2,3,2,5,2,4,3,1,1,3,3,18,8,14,7,3,7,40
20045,5,1,2,4,3,4,4,2,2,2,5,4,4,3,3,2,1,1,2,3,3,5,2,3,4,2,1,1,3,14,6,13,6,2,7,33
20046,3,2,2,3,3,2,4,3,3,2,2,5,2,2,2,3,2,1,1,1,2,2,2,3,3,3,3,3,3,12,9,13,5,2,7,34
20048,3,3,4,4,4,3,3,3,3,2,2,5,2,3,1,2,2,3,3,2,2,3,3,2,2,3,3,2,2,12,8,16,5,3,8,36
20049,3,2,3,3,3,2,3,3,3,2,2,2,2,2,2,3,2,2,2,3,3,3,2,2,2,3,3,2,2,7,7,12,2,3,6,26
20050,3,2,2,2,2,1,3,3,3,2,3,2,2,3,2,3,4,4,3,4,4,3,3,2,2,2,3,3,2,15,11,15,6,5,8,41
20051,2,4,4,4,3,2,3,3,3,2,2,5,3,2,2,3,2,2,2,2,5,3,3,2,2,3,2,4,3,11,9,11,4,2,6,31
